name,glon,glat,ra,dec,size_major,size_minor,size_flag,shape,shape_flag,flux,flux_flag,specindex,specindex_flag,othernames
G352.7-00.1,352.7,-0.1,261.9166666666667,-35.11666666666667,8.0,6.0,,S,,4.0,,0.6,,[]
G353.6-00.7,353.6,-0.7,263.0,-34.733333333333334,30.0,30.0,,S,,2.5,?,,?,[]
G353.9-02.0,353.9,-2.0,264.7291666666667,-35.18333333333333,13.0,13.0,,S,,1.0,?,0.5,?,[]
G354.1+00.1,354.1,0.1,262.6166666666667,-33.766666666666666,15.0,3.0,?,C,?,,?,,varies,[]
G354.8-00.8,354.8,-0.8,264.0,-33.7,19.0,19.0,,S,,2.8,?,,?,[]
G355.4+00.7,355.4,0.7,262.8333333333333,-32.43333333333333,25.0,25.0,,S,,5.0,?,,?,[]
G355.6-00.0,355.6,-0.0,263.81666666666666,-32.63333333333333,8.0,6.0,,S,,3.0,?,,?,[]
G355.9-02.5,355.9,-2.5,266.47083333333336,-33.71666666666667,13.0,13.0,,S,,8.0,,0.5,,[]
G356.2+04.5,356.2,4.5,259.75,-29.666666666666668,25.0,25.0,,S,,4.0,,0.7,,[]
G356.3-01.5,356.3,-1.5,265.6458333333333,-32.86666666666667,20.0,15.0,,S,,3.0,?,,?,[]
G356.3-00.3,356.3,-0.3,264.48333333333335,-32.266666666666666,11.0,7.0,,S,,3.0,?,,?,[]
G357.7-00.1,357.7,-0.1,265.12083333333334,-30.966666666666665,8.0,3.0,?,,?,37.0,,0.4,,['MSH 17-39']
G357.7+00.3,357.7,0.3,264.6458333333333,-30.733333333333334,24.0,24.0,,S,,10.0,,0.4,?,[]
G358.0+03.8,358.0,3.8,261.5,-28.6,38.0,38.0,,S,,1.5,?,,?,[]
G358.1+00.1,358.1,0.1,264.25,-29.983333333333334,20.0,20.0,,S,,2.0,?,,?,[]
G358.5-00.9,358.5,-0.9,266.5416666666667,-30.666666666666668,17.0,17.0,,S,,4.0,?,,?,[]
G359.0-00.9,359.0,-0.9,266.7083333333333,-30.266666666666666,23.0,23.0,,S,,23.0,,0.5,,[]
G359.1-00.5,359.1,-0.5,266.375,-29.95,24.0,24.0,,S,,14.0,,0.4,?,[]
G359.1+00.9,359.1,0.9,264.9,-29.183333333333334,12.0,11.0,,S,,2.0,?,,?,[]
